Id,Label,RiskScore,InDegree,OutDegree,Betweenness,DependentsCount,Downloads,StalenessDays,ClusteringCoeff,MaintainerRisk,Type
164,encodeurl,0.48788194044425803,4,0,0.0,2318351,358987350,553,0.3333333333333333,0.5,dependency
165,d3-shape,0.487289513711493,1,0,0.0,121138,80413743,968,0.0,0.5,dependency
166,d3-array,0.48720294180807755,1,0,0.0,133435,86341827,919,0.0,0.5,dependency
167,fsevents,0.48708223216805513,0,0,0.0,5289351,100342779,443,0.0,0.5,seed
168,@babel/plugin-syntax-object-rest-spread,0.48690687618510664,0,1,0.0,4657287,147511195,1272,0.0,0.16666666666666666,seed
169,@types/debug,0.4867961747979257,1,0,0.0,298717,79702092,124,0.0,1.0,dependency
170,cheerio-select,0.4864292766722812,1,0,0.0,103761,39684954,1266,0.0,0.5,dependency
171,@babel/plugin-syntax-optional-catch-binding,0.4864136815120509,0,1,0.0,4539577,142921435,1272,0.0,0.16666666666666666,seed
172,oauth-sign,0.4863620604842648,1,0,0.0,691549,63029188,1262,0.0,0.3333333333333333,dependency
173,@babel/plugin-syntax-json-strings,0.4859483238630391,0,1,0.0,4444129,138473130,1272,0.0,0.16666666666666666,seed
174,d3-time-format,0.48560731337622476,1,0,0.0,120327,68689290,968,0.0,0.5,dependency
175,d3-format,0.48554806003664885,1,0,0.0,121581,67863130,968,0.0,0.5,dependency
176,pretty-bytes,0.48541877398630295,1,0,0.0,1933851,83658552,75,0.0,1.0,dependency
177,node-fetch,0.48537279689554486,1,3,0.0,1817321,348823440,736,0.0,0.2,dependency
178,@octokit/plugin-request-log,0.4852933855066536,1,0,0.0,110708,36590654,198,0.0,1.0,dependency
179,d3-scale,0.48517924644857047,1,0,0.0,119152,66320309,968,0.0,0.5,dependency
180,fresh,0.48510188218201855,2,0,0.0,5019855,234990911,205,0.5,1.0,seed
181,yargs,0.4848427135560798,0,6,0.0,4893685,545186829,192,0.03333333333333333,0.5,seed
182,readable-stream,0.4847786602102505,1,5,0.0,1100152,812952206,332,0.0,0.3333333333333333,seed
183,log-symbols,0.48467296284993433,1,0,0.0,1543198,235351426,52,0.0,1.0,dependency
184,fill-range,0.48436304173981026,0,1,0.0,5461792,410804129,563,0.0,0.25,seed
185,d3-dispatch,0.48410158547276616,1,0,0.0,79274,37150090,1270,0.0,0.5,dependency
186,d3-selection,0.48334096342040367,1,0,0.0,72750,36411173,1270,0.0,0.5,dependency
187,retry-as-promised,0.4832114888856922,1,0,0.0,159740,9376893,281,0.0,1.0,dependency
188,arch,0.4830626711506415,1,0,0.0,673262,51376830,662,0.0,0.5,dependency
189,d3-transition,0.48267040322948207,1,0,0.0,68594,35400757,1270,0.0,0.5,dependency
190,etag,0.48255876865891034,2,0,0.0,4534857,195935698,205,0.5,1.0,seed
191,triple-beam,0.48219513891030674,1,0,0.0,135332,59579995,879,0.0,0.5,dependency
192,cli-table3,0.48216578605999194,1,0,0.0,497518,84414080,571,0.0,0.5,dependency
193,d3-drag,0.48208890615708855,1,0,0.0,62693,35388301,1270,0.0,0.5,dependency
194,@smithy/util-utf8,0.48169046927972137,18,0,0.0,14686,322627809,66,0.0,0.3333333333333333,dependency
195,d3-hierarchy,0.4812075719922342,1,0,0.0,73704,29420962,1270,0.0,0.5,dependency
196,d3-zoom,0.4810428732592451,1,0,0.0,57906,33611345,1270,0.0,0.5,dependency
197,oauth,0.48101131090879456,1,0,0.0,76389,13584169,268,0.0,1.0,dependency
198,tmp,0.48090297615371524,1,0,0.0,992625,215107060,52,0.0,1.0,dependency
199,date.js,0.4802221840764903,1,0,0.0,4129,1188285,1269,0.0,1.0,dependency
200,http2-wrapper,0.4797223008474585,1,0,0.0,138437,69361774,756,0.0,0.5,dependency
201,p-retry,0.47953455521364974,1,0,0.0,2253698,89241707,57,0.0,1.0,dependency
202,merge-descriptors,0.479267748939841,1,0,0.0,4062436,220920702,749,0.0,0.16666666666666666,dependency
203,@types/node,0.4792039642560476,2,1,1.795320625028052e-05,1060374,569923996,23,0.0,1.0,seed
204,d3-quadtree,0.4790719236191,1,0,0.0,64945,25906850,1270,0.0,0.5,dependency
205,json-stringify-safe,0.4790398714353882,1,0,0.0,5239,123557935,1265,0.0,0.5,dependency
206,cookie-signature,0.47898378188568314,1,0,0.0,4104495,222403185,401,0.0,0.3333333333333333,dependency
207,d3-force,0.47897414754557277,1,0,0.0,64420,25793419,1270,0.0,0.5,dependency
208,brace-expansion,0.47874099655446334,0,1,0.0,1303119,1104768464,177,0.0,0.5,seed
209,d3-dsv,0.4785995379656578,1,0,0.0,63389,25130088,1270,0.0,0.5,dependency
210,content-type,0.47750163471267326,2,0,0.0,1866290,208493291,205,0.5,1.0,dependency
211,ajv,0.4771646962928586,0,4,0.0,1087714,727735246,179,0.0,0.5,seed
212,form-data-encoder,0.4770481535508718,1,0,0.0,30574,45237330,183,0.0,1.0,dependency
213,yauzl,0.4770339142818758,1,0,0.0,728189,107741786,397,0.0,0.5,dependency
214,d3-brush,0.47676441680512194,1,0,0.0,56557,22602400,1270,0.0,0.5,dependency
215,d3-axis,0.4767237632972924,1,0,0.0,55033,22897280,1270,0.0,0.5,dependency
216,decompress-response,0.47660110237664155,1,0,0.0,1244414,123704195,52,0.0,1.0,dependency
217,d3-random,0.47644458830103564,1,0,0.0,53026,22808215,1270,0.0,0.5,dependency
218,d3-polygon,0.4763339541174204,1,0,0.0,53066,22556376,1270,0.0,0.5,dependency
219,@babel/helper-module-transforms,0.4759404800244337,1,3,0.0003052045062547688,3453731,291908984,43,0.0,0.25,dependency
220,d3-chord,0.475358093994418,1,0,0.0,52760,20609709,1270,0.0,0.5,dependency
221,one-time,0.47514926231350657,1,0,0.0,138677,57975668,1261,0.0,0.3333333333333333,dependency
222,d3-fetch,0.4747785607318674,1,0,0.0,45596,21331221,1270,0.0,0.5,dependency
223,responselike,0.47419468388345376,1,0,0.0,1073171,88484174,56,0.0,1.0,dependency
224,extend,0.47413902600987856,1,0,0.0,6640,178345101,876,0.0,0.5,dependency
225,camelcase,0.4740334699485592,0,0,0.0,4809686,508763367,24,0.0,1.0,seed
226,whatwg-mimetype,0.47349536610534176,1,0,0.0,2081415,187627446,755,0.0,0.16666666666666666,dependency
227,object-assign,0.4733634504220202,2,0,0.0,2052350,287055621,292,0.0,0.3333333333333333,dependency
228,untildify,0.472231268041567,1,0,0.0,252887,57553474,86,0.0,1.0,dependency
229,@smithy/util-body-length-browser,0.4717975551937923,18,0,0.0,14597,125094222,66,0.0,0.3333333333333333,dependency
230,@babel/helper-plugin-utils,0.47066459233584046,13,0,0.0,3527362,292505806,43,0.0,0.25,dependency
231,d3-contour,0.47011540917751415,1,0,0.0,48513,21389742,1058,0.0,0.5,dependency
232,@smithy/util-base64,0.4691430902929045,18,0,0.0,14669,142262146,57,0.0,0.3333333333333333,dependency
233,send,0.46913142617752035,2,11,0.0,4993661,258008333,253,0.09615384615384616,0.25,seed
234,yargs-parser,0.4690612476863375,1,0,0.0,4384968,588466148,192,0.0,0.3333333333333333,seed
235,jpeg-exif,0.46890327816327004,1,0,0.0,93,4174531,1265,0.0,1.0,dependency
236,@aws-sdk/types,0.46851423292375505,18,0,0.0,75143,301876999,15,0.0,0.5,dependency
237,color-convert,0.4684075768669522,0,1,0.0,1246711,969417687,20,0.0,1.0,seed
238,@cypress/request,0.46838896880296244,1,0,0.0,68098,28083940,133,0.0,1.0,dependency
239,sift,0.46828387883093814,1,0,0.0,649567,16728142,597,0.0,0.5,dependency
240,util,0.46803219327907813,1,0,0.0,701284,150457164,866,0.0,0.16666666666666666,dependency
