Source,Target,Type
521,294,Directed
521,427,Directed
521,284,Directed
521,307,Directed
521,232,Directed
521,229,Directed
521,243,Directed
521,434,Directed
521,433,Directed
521,414,Directed
521,304,Directed
521,306,Directed
521,440,Directed
521,194,Directed
521,413,Directed
521,126,Directed
527,162,Directed
527,156,Directed
527,462,Directed
527,367,Directed
527,265,Directed
527,266,Directed
527,272,Directed
527,531,Directed
527,365,Directed
527,418,Directed
527,236,Directed
527,274,Directed
527,264,Directed
527,366,Directed
527,318,Directed
527,510,Directed
527,302,Directed
527,320,Directed
527,319,Directed
527,315,Directed
527,439,Directed
527,432,Directed
527,323,Directed
527,313,Directed
527,309,Directed
527,310,Directed
527,294,Directed
527,427,Directed
527,284,Directed
527,307,Directed
527,232,Directed
527,229,Directed
527,243,Directed
527,434,Directed
527,433,Directed
527,414,Directed
527,304,Directed
527,306,Directed
527,194,Directed
527,413,Directed
527,126,Directed
438,425,Directed
438,162,Directed
438,156,Directed
438,462,Directed
438,367,Directed
438,452,Directed
438,459,Directed
438,529,Directed
438,265,Directed
438,461,Directed
438,266,Directed
438,272,Directed
438,519,Directed
438,458,Directed
438,365,Directed
438,418,Directed
438,528,Directed
438,236,Directed
438,274,Directed
438,264,Directed
438,366,Directed
438,318,Directed
438,510,Directed
438,471,Directed
438,470,Directed
438,473,Directed
438,302,Directed
438,488,Directed
438,320,Directed
438,486,Directed
438,319,Directed
438,477,Directed
438,315,Directed
438,439,Directed
438,432,Directed
438,323,Directed
438,313,Directed
438,309,Directed
438,310,Directed
438,294,Directed
438,427,Directed
438,284,Directed
438,307,Directed
438,232,Directed
438,229,Directed
438,243,Directed
438,434,Directed
438,433,Directed
438,414,Directed
438,304,Directed
438,306,Directed
438,440,Directed
438,194,Directed
438,413,Directed
438,126,Directed
543,162,Directed
543,156,Directed
543,462,Directed
543,367,Directed
543,452,Directed
543,265,Directed
543,266,Directed
543,272,Directed
543,544,Directed
543,365,Directed
543,418,Directed
543,236,Directed
543,274,Directed
543,264,Directed
543,366,Directed
543,318,Directed
543,510,Directed
543,302,Directed
543,488,Directed
543,320,Directed
543,486,Directed
543,319,Directed
543,477,Directed
543,553,Directed
543,315,Directed
543,439,Directed
543,432,Directed
543,323,Directed
543,313,Directed
543,309,Directed
543,310,Directed
543,294,Directed
543,427,Directed
543,284,Directed
543,307,Directed
543,232,Directed
543,229,Directed
543,243,Directed
543,434,Directed
543,433,Directed
543,414,Directed
543,304,Directed
543,306,Directed
543,194,Directed
543,126,Directed
504,162,Directed
504,156,Directed
504,462,Directed
504,367,Directed
504,265,Directed
504,266,Directed
504,272,Directed
504,365,Directed
504,418,Directed
504,236,Directed
504,274,Directed
504,264,Directed
504,366,Directed
504,318,Directed
504,510,Directed
504,302,Directed
504,320,Directed
504,319,Directed
504,315,Directed
504,439,Directed
504,432,Directed
504,323,Directed
504,313,Directed
504,309,Directed
504,310,Directed
504,294,Directed
504,427,Directed
504,284,Directed
504,307,Directed
504,232,Directed
504,229,Directed
504,243,Directed
504,434,Directed
504,433,Directed
504,414,Directed
504,304,Directed
504,306,Directed
504,194,Directed
504,126,Directed
501,162,Directed
501,156,Directed
501,462,Directed
501,367,Directed
501,265,Directed
501,266,Directed
501,272,Directed
501,365,Directed
501,418,Directed
501,236,Directed
501,274,Directed
501,264,Directed
501,366,Directed
501,318,Directed
501,510,Directed
501,302,Directed
501,320,Directed
501,319,Directed
501,315,Directed
501,439,Directed
501,432,Directed
501,323,Directed
501,313,Directed
501,309,Directed
501,310,Directed
501,294,Directed
501,427,Directed
501,284,Directed
501,307,Directed
501,232,Directed
501,229,Directed
501,243,Directed
501,434,Directed
501,433,Directed
501,414,Directed
501,304,Directed
501,306,Directed
501,194,Directed
501,413,Directed
501,126,Directed
511,162,Directed
511,156,Directed
511,462,Directed
511,367,Directed
511,265,Directed
511,266,Directed
511,272,Directed
511,365,Directed
511,418,Directed
511,236,Directed
511,274,Directed
511,264,Directed
511,366,Directed
511,318,Directed
511,510,Directed
511,302,Directed
511,320,Directed
511,319,Directed
511,315,Directed
511,439,Directed
511,432,Directed
511,323,Directed
511,313,Directed
511,309,Directed
511,310,Directed
511,294,Directed
511,427,Directed
511,284,Directed
511,307,Directed
511,232,Directed
511,229,Directed
511,243,Directed
511,434,Directed
511,433,Directed
511,414,Directed
511,304,Directed
511,306,Directed
511,194,Directed
511,126,Directed
496,162,Directed
496,156,Directed
496,462,Directed
496,367,Directed
496,265,Directed
496,266,Directed
496,272,Directed
496,506,Directed
496,365,Directed
496,418,Directed
496,236,Directed
496,274,Directed
496,264,Directed
496,366,Directed
496,318,Directed
496,510,Directed
496,302,Directed
496,320,Directed
496,319,Directed
496,477,Directed
496,315,Directed
496,439,Directed
496,432,Directed
496,323,Directed
496,313,Directed
496,309,Directed
496,310,Directed
496,294,Directed
496,427,Directed
496,284,Directed
496,307,Directed
496,232,Directed
496,229,Directed
496,243,Directed
496,434,Directed
496,433,Directed
496,414,Directed
496,304,Directed
496,306,Directed
496,194,Directed
496,126,Directed
551,126,Directed
551,122,Directed
551,484,Directed
551,541,Directed
551,547,Directed
551,490,Directed
551,530,Directed
551,493,Directed
551,485,Directed
551,539,Directed
551,558,Directed
551,465,Directed
551,505,Directed
551,542,Directed
514,126,Directed
514,360,Directed
305,316,Directed
305,308,Directed
305,178,Directed
305,314,Directed
330,337,Directed
330,127,Directed
533,436,Directed
533,534,Directed
533,203,Directed
533,139,Directed
533,405,Directed
533,129,Directed
533,437,Directed
533,105,Directed
533,24,Directed
533,351,Directed
533,201,Directed
533,9,Directed
464,65,Directed
464,199,Directed
464,535,Directed
464,262,Directed
464,355,Directed
464,419,Directed
410,97,Directed
410,145,Directed
350,342,Directed
350,391,Directed
350,240,Directed
350,252,Directed
350,10,Directed
350,122,Directed
350,81,Directed
350,92,Directed
350,58,Directed
350,118,Directed
405,268,Directed
405,437,Directed
405,20,Directed
450,111,Directed
450,93,Directed
450,65,Directed
450,325,Directed
450,443,Directed
450,295,Directed
450,423,Directed
450,55,Directed
450,210,Directed
242,262,Directed
242,69,Directed
242,515,Directed
242,417,Directed
242,250,Directed
242,297,Directed
242,252,Directed
442,267,Directed
345,332,Directed
345,411,Directed
345,54,Directed
345,6,Directed
345,57,Directed
345,170,Directed
345,116,Directed
345,226,Directed
345,348,Directed
345,483,Directed
345,372,Directed
296,93,Directed
296,290,Directed
296,65,Directed
296,273,Directed
296,298,Directed
296,64,Directed
296,60,Directed
245,60,Directed
245,227,Directed
522,283,Directed
522,359,Directed
445,198,Directed
445,188,Directed
445,132,Directed
445,254,Directed
445,65,Directed
445,428,Directed
445,244,Directed
445,213,Directed
445,10,Directed
445,271,Directed
445,417,Directed
445,70,Directed
445,301,Directed
445,44,Directed
445,369,Directed
445,293,Directed
445,73,Directed
445,133,Directed
445,340,Directed
445,349,Directed
445,72,Directed
445,392,Directed
445,109,Directed
445,228,Directed
445,251,Directed
445,48,Directed
445,192,Directed
445,52,Directed
445,108,Directed
445,137,Directed
445,183,Directed
445,176,Directed
445,66,Directed
445,247,Directed
445,141,Directed
445,20,Directed
445,77,Directed
445,238,Directed
445,59,Directed
445,339,Directed
445,50,Directed
445,324,Directed
253,209,Directed
253,269,Directed
253,215,Directed
253,193,Directed
253,155,Directed
253,154,Directed
253,157,Directed
253,196,Directed
253,166,Directed
253,214,Directed
253,220,Directed
253,142,Directed
253,222,Directed
253,207,Directed
253,179,Directed
253,165,Directed
253,149,Directed
253,175,Directed
253,217,Directed
253,231,Directed
253,218,Directed
253,300,Directed
253,185,Directed
253,204,Directed
253,195,Directed
253,186,Directed
253,189,Directed
253,140,Directed
253,174,Directed
253,287,Directed
520,132,Directed
520,417,Directed
520,322,Directed
447,111,Directed
447,16,Directed
447,190,Directed
447,12,Directed
447,233,Directed
447,60,Directed
447,65,Directed
447,180,Directed
447,429,Directed
447,354,Directed
447,80,Directed
447,325,Directed
447,131,Directed
447,334,Directed
447,164,Directed
447,422,Directed
447,75,Directed
447,450,Directed
447,148,Directed
447,423,Directed
447,55,Directed
447,210,Directed
447,457,Directed
447,398,Directed
447,328,Directed
447,206,Directed
447,202,Directed
447,420,Directed
537,417,Directed
537,455,Directed
453,449,Directed
453,548,Directed
453,546,Directed
453,203,Directed
453,335,Directed
453,4,Directed
453,282,Directed
453,500,Directed
453,518,Directed
453,491,Directed
453,252,Directed
347,12,Directed
347,312,Directed
347,474,Directed
469,282,Directed
469,379,Directed
286,260,Directed
286,487,Directed
286,144,Directed
286,426,Directed
286,216,Directed
286,212,Directed
286,200,Directed
286,481,Directed
286,37,Directed
286,32,Directed
286,223,Directed
286,333,Directed
503,360,Directed
373,384,Directed
373,356,Directed
373,45,Directed
373,386,Directed
500,523,Directed
500,159,Directed
500,151,Directed
500,160,Directed
500,161,Directed
500,134,Directed
500,143,Directed
500,146,Directed
500,344,Directed
500,297,Directed
419,454,Directed
540,344,Directed
540,239,Directed
540,163,Directed
540,361,Directed
540,441,Directed
540,535,Directed
321,353,Directed
321,65,Directed
321,16,Directed
321,55,Directed
321,298,Directed
380,51,Directed
380,39,Directed
380,123,Directed
380,28,Directed
380,227,Directed
380,325,Directed
380,33,Directed
177,53,Directed
177,263,Directed
177,61,Directed
460,262,Directed
460,90,Directed
460,95,Directed
536,297,Directed
536,136,Directed
446,288,Directed
446,158,Directed
446,235,Directed
446,101,Directed
446,99,Directed
552,550,Directed
502,532,Directed
502,456,Directed
502,91,Directed
502,495,Directed
502,516,Directed
502,259,Directed
508,509,Directed
482,479,Directed
482,472,Directed
482,478,Directed
482,475,Directed
482,476,Directed
370,111,Directed
370,120,Directed
370,252,Directed
370,224,Directed
370,327,Directed
370,76,Directed
370,71,Directed
370,437,Directed
370,422,Directed
370,172,Directed
370,64,Directed
370,281,Directed
370,292,Directed
370,276,Directed
370,38,Directed
370,67,Directed
370,492,Directed
370,124,Directed
370,74,Directed
370,205,Directed
463,82,Directed
463,252,Directed
463,65,Directed
463,94,Directed
463,417,Directed
463,454,Directed
463,297,Directed
463,455,Directed
463,311,Directed
463,169,Directed
463,378,Directed
463,78,Directed
463,419,Directed
463,363,Directed
463,187,Directed
463,362,Directed
299,431,Directed
299,147,Directed
299,297,Directed
498,111,Directed
538,382,Directed
538,107,Directed
538,557,Directed
538,100,Directed
538,279,Directed
538,258,Directed
538,153,Directed
538,115,Directed
538,451,Directed
538,248,Directed
538,555,Directed
538,113,Directed
538,128,Directed
538,396,Directed
538,499,Directed
468,405,Directed
468,254,Directed
468,152,Directed
468,500,Directed
468,111,Directed
468,88,Directed
468,63,Directed
415,280,Directed
415,47,Directed
415,277,Directed
415,24,Directed
415,343,Directed
415,221,Directed
415,182,Directed
415,86,Directed
415,270,Directed
415,191,Directed
415,341,Directed
81,342,Directed
81,63,Directed
