package,risk_score,in_degree,out_degree,betweenness,clustering,dependents_count,downloads,staleness_days,maintainer_risk,in_degree_norm,out_degree_norm,betweenness_norm,dependents_count_norm,downloads_norm,staleness_norm,clustering_risk_norm,type,rank,cascade_impact
is-stream,0.569318730143889,2,0,0.0,0.0,2263687,463584979,654,1.0,0.1,0.0,0.0,0.9399483764163,0.844444749042808,0.9043970879898912,1.0,dependency,103,1
uri-js,0.5683001193517072,0,1,0.0,0.0,4745435,266742441,896,1.0,0.0,0.012048192771084338,0.0,0.9874958360007172,0.7869599527091962,0.9482486060180373,1.0,seed,20,0
fast-json-stable-stringify,0.568036058856569,0,0,0.0,0.0,4957551,283366060,897,1.0,0.0,0.0,0.0,0.9903048404143288,0.7932477445764146,0.9484040017874735,1.0,seed,14,0
fs.realpath,0.5679624264439925,0,0,0.0,0.0,5532257,262937430,897,1.0,0.0,0.0,0.0,0.9973506109456963,0.7854656499192826,0.9484040017874735,1.0,seed,2,0
mkdirp,0.5670597858323323,1,0,0.0,0.0,1948611,444233599,759,1.0,0.05,0.0,0.0,0.9303206612401329,0.8400100172729603,0.9251335899051147,1.0,dependency,128,1
argparse,0.5666320622806718,1,0,0.0,0.0,1075818,579861328,776,1.0,0.05,0.0,0.0,0.8921616251628944,0.8677212325446829,0.9282188825495701,1.0,seed,202,0
to-fast-properties,0.5662463351521673,0,0,0.0,0.0,4631839,100739468,1257,1.0,0.0,0.0,0.0,0.985939430075537,0.6856844677913481,0.9954197268273937,1.0,seed,23,0
balanced-match,0.563896474352847,1,0,0.0,0.0,1303263,377443120,790,1.0,0.05,0.0,0.0,0.9044816184759865,0.8230642387065371,0.9307094431729729,1.0,dependency,166,0
p-cancelable,0.5616195259310881,1,0,0.0,0.0,1122037,100477147,1235,1.0,0.05,0.0,0.0,0.8948637190379057,0.6854132874812519,0.9929591263958615,1.0,dependency,183,1
xtend,0.5604445018190358,1,0,0.0,0.0,1446059,191405982,878,1.0,0.05,0.0,0.0,0.911160386912308,0.7524417083373749,0.9454214614703376,1.0,dependency,159,1
