package,risk_score,in_degree,out_degree,betweenness,clustering,dependents_count,downloads,staleness_days,maintainer_risk,in_degree_norm,out_degree_norm,betweenness_norm,dependents_count_norm,downloads_norm,staleness_norm,clustering_risk_norm,type,rank
cli-cursor,0.544519347080948,1,0,0.0,0.0,756236,283558090,497,1.0,0.05,0.0,0.0,0.8695191921998532,0.7933182029850742,0.8661780378122762,1.0,dependency,234
is-core-module,0.5441370520817373,1,1,0.0,0.0,2348517,313697356,348,1.0,0.05,0.012048192771084338,0.0,0.9423116012363484,0.8038240311846446,0.816593347812648,1.0,dependency,97
is-installed-globally,0.5431117034048745,1,0,0.0,0.0,1091810,63533269,759,1.0,0.05,0.0,0.0,0.8931094777451994,0.6377403764933158,0.9251335899051147,1.0,dependency,192
append-field,0.542741086152525,1,0,0.0,0.0,281881,35552216,1271,1.0,0.05,0.0,0.0,0.8061258568596897,0.5773584876577514,0.9969632585039043,1.0,dependency,281
executable,0.5411687731673056,1,0,0.0,0.0,291583,30249813,1266,1.0,0.05,0.0,0.0,0.8082996105197313,0.5605602088633482,0.996413956144988,1.0,dependency,278
data-uri-to-buffer,0.5407199864123681,1,0,0.0,0.0,371709,142213721,661,1.0,0.05,0.0,0.0,0.8238954468322811,0.7215450689076315,0.9058796741918839,1.0,dependency,271
domutils,0.5406703078671281,1,0,0.0,0.0,3228971,235137277,332,1.0,0.05,0.0,0.0,0.962763336284871,0.7738433256435223,0.8100482083714435,1.0,dependency,74
on-finished,0.5393362436872902,5,1,1.795320625028052e-05,0.1,1780334,260003037,205,1.0,0.25,0.012048192771084338,0.018181818181818184,0.924519046188838,0.7842984123030542,0.7430665746231447,0.9,dependency,140
to-regex-range,0.5392218834317931,1,1,1.795320625028052e-05,0.0,5300496,358211999,1257,0.5,0.05,0.012048192771084338,0.018181818181818184,0.9946015586582293,0.8176252521294529,0.9954197268273937,1.0,seed,4
htmlparser2,0.5387635170918658,1,0,0.0,0.0,2705632,195508009,346,1.0,0.05,0.0,0.0,0.9514044397635946,0.7546471168231093,0.8157918071659767,1.0,dependency,83
jmespath,0.5385294507763795,1,0,0.0,0.0,136508,37584138,1265,1.0,0.05,0.0,0.0,0.7595477321130237,0.5831391044912902,0.9963038355797403,1.0,dependency,313
