package,risk_score
ajv,0.4771646962928586
form-data-encoder,0.4770481535508718
yauzl,0.4770339142818758
d3-brush,0.47676441680512194
d3-axis,0.4767237632972924
decompress-response,0.47660110237664155
d3-random,0.47644458830103564
d3-polygon,0.4763339541174204
@babel/helper-module-transforms,0.4759404800244337
d3-chord,0.475358093994418
one-time,0.47514926231350657
d3-fetch,0.4747785607318674
responselike,0.47419468388345376
extend,0.47413902600987856
camelcase,0.4740334699485592
whatwg-mimetype,0.47349536610534176
object-assign,0.4733634504220202
untildify,0.472231268041567
@smithy/util-body-length-browser,0.4717975551937923
@babel/helper-plugin-utils,0.47066459233584046
d3-contour,0.47011540917751415
@smithy/util-base64,0.4691430902929045
send,0.46913142617752035
yargs-parser,0.4690612476863375
jpeg-exif,0.46890327816327004
@aws-sdk/types,0.46851423292375505
color-convert,0.4684075768669522
@cypress/request,0.46838896880296244
sift,0.46828387883093814
util,0.46803219327907813
is-number,0.46750105154502797
bull,0.46728472042720093
@smithy/util-body-length-node,0.4671903450167802
hasha,0.46712175802357603
cors,0.4670190924124714
is-glob,0.4668784421768417
@types/sizzle,0.46643503330273184
esm-env,0.4662029013394682
yocto-queue,0.46603131062264747
msgpackr,0.4658268398891877
@types/tmp,0.4656929451549816
uuid,0.4654771956165098
d3,0.4651131747325523
dayjs,0.46475235588871555
mime-db,0.46459048358233845
cliui,0.4642468066032942
@babel/generator,0.46395466589703915
aria-query,0.46379110605911117
typed-query-selector,0.4633465334558792
@sindresorhus/is,0.46333126803548075
js-yaml,0.46289422022280313
cron-parser,0.4627586370754275
fetch-blob,0.4627267063553778
@aws-sdk/util-user-agent-browser,0.4622411022535975
@aws-sdk/middleware-host-header,0.46206082835089757
@aws-sdk/middleware-logger,0.4620115933216683
@kurkle/color,0.4619102811339997
follow-redirects,0.46181592277078176
d3-geo,0.46174448090736264
stack-trace,0.4606809229272873
listr2,0.46031168504815545
@aws-sdk/middleware-recursion-detection,0.4602090813526364
negotiator,0.4599198027386784
@aws-sdk/util-endpoints,0.4592167579532106
@babel/types,0.4590479154897933
forever-agent,0.4587284077021978
async,0.45864826295737143
@babel/helper-skip-transparent-expression-wrappers,0.45795515969567036
acorn,0.4578993757350226
@dabh/diagnostics,0.4569700706633917
tough-cookie,0.4569416753552199
google-auth-library,0.45572719189763977
@types/luxon,0.4552379973515911
@smithy/types,0.45513524913479414
glob-parent,0.45409520231237405
got,0.4535602963266201
d3-scale-chromatic,0.45263433078546933
crypto-js,0.4525326908967179
hasown,0.45154329165421614
compressible,0.45141071102522
emoji-regex,0.45059477161963446
tunnel-agent,0.45056082241837336
bluebird,0.4504602150493101
@smithy/protocol-http,0.44954027331847474
iconv-lite,0.44950481437918466
compression,0.44947239527096183
semver,0.4494156292780758
on-headers,0.4484714997537258
sharp,0.4481453330060632
d3-delaunay,0.4477735060748451
ci-info,0.4474009631237369
@smithy/fetch-http-handler,0.4469653117770303
@babel/code-frame,0.44625898719986234
@smithy/util-middleware,0.4460852549478467
@octokit/rest,0.4460828875020951
@smithy/util-retry,0.4460152917920795
@smithy/url-parser,0.44601238614025446
@octokit/plugin-paginate-rest,0.44592247865291634
@smithy/node-config-provider,0.4458096361469434
@smithy/node-http-handler,0.44573581298765036
inflection,0.4456630177804394
dezalgo,0.4456371902889923
@smithy/middleware-stack,0.44526587020851177
@octokit/plugin-rest-endpoint-methods,0.4447026239923104
@smithy/middleware-content-length,0.4445361449553756
@octokit/core,0.44442348605092763
picomatch,0.44431873566676516
@smithy/config-resolver,0.4440596134798394
