Source,Target,Type
22,484,Directed
22,876,Directed
22,199,Directed
22,299,Directed
965,624,Directed
194,20,Directed
194,71,Directed
194,211,Directed
194,1085,Directed
194,124,Directed
194,658,Directed
121,26,Directed
121,251,Directed
121,32,Directed
121,107,Directed
121,218,Directed
121,67,Directed
243,26,Directed
243,32,Directed
243,54,Directed
243,107,Directed
243,67,Directed
243,135,Directed
156,243,Directed
156,26,Directed
156,451,Directed
156,787,Directed
593,10,Directed
267,48,Directed
267,573,Directed
267,92,Directed
1453,356,Directed
215,4,Directed
215,176,Directed
215,554,Directed
215,389,Directed
215,63,Directed
481,228,Directed
436,978,Directed
436,11,Directed
436,365,Directed
436,868,Directed
689,854,Directed
689,117,Directed
151,91,Directed
151,441,Directed
151,521,Directed
151,333,Directed
151,242,Directed
151,13,Directed
151,63,Directed
49,4,Directed
49,26,Directed
49,48,Directed
49,28,Directed
49,54,Directed
49,289,Directed
49,354,Directed
49,92,Directed
49,45,Directed
49,236,Directed
49,67,Directed
49,77,Directed
49,835,Directed
49,135,Directed
49,205,Directed
420,389,Directed
420,662,Directed
420,248,Directed
584,896,Directed
584,420,Directed
811,936,Directed
1077,282,Directed
568,2,Directed
866,40,Directed
866,39,Directed
988,40,Directed
494,48,Directed
494,16,Directed
494,389,Directed
669,11,Directed
669,436,Directed
669,1244,Directed
669,39,Directed
900,11,Directed
900,39,Directed
651,11,Directed
651,436,Directed
651,40,Directed
651,786,Directed
874,39,Directed
874,916,Directed
869,461,Directed
869,40,Directed
997,39,Directed
755,11,Directed
755,39,Directed
755,786,Directed
764,1244,Directed
764,39,Directed
764,786,Directed
993,39,Directed
878,39,Directed
878,786,Directed
1002,40,Directed
902,39,Directed
902,22,Directed
1005,39,Directed
897,11,Directed
897,436,Directed
1047,216,Directed
193,121,Directed
193,26,Directed
193,32,Directed
193,218,Directed
1184,600,Directed
1184,16,Directed
143,982,Directed
143,243,Directed
143,156,Directed
143,49,Directed
143,26,Directed
143,48,Directed
143,32,Directed
143,54,Directed
143,787,Directed
143,2100,Directed
143,29,Directed
143,92,Directed
143,389,Directed
143,215,Directed
143,420,Directed
143,494,Directed
143,584,Directed
143,107,Directed
143,67,Directed
143,102,Directed
143,135,Directed
143,207,Directed
143,770,Directed
105,243,Directed
105,2064,Directed
105,143,Directed
105,156,Directed
105,49,Directed
105,26,Directed
105,32,Directed
105,195,Directed
105,54,Directed
105,282,Directed
105,2100,Directed
105,92,Directed
105,598,Directed
105,132,Directed
105,45,Directed
105,107,Directed
105,236,Directed
105,69,Directed
105,682,Directed
105,8,Directed
105,51,Directed
105,15,Directed
105,67,Directed
105,147,Directed
105,81,Directed
105,77,Directed
105,74,Directed
105,135,Directed
469,91,Directed
469,151,Directed
469,10,Directed
469,242,Directed
469,532,Directed
148,156,Directed
148,92,Directed
148,45,Directed
148,135,Directed
442,930,Directed
442,776,Directed
860,152,Directed
860,304,Directed
172,748,Directed
172,583,Directed
803,10,Directed
803,1021,Directed
803,151,Directed
1207,1322,Directed
1207,54,Directed
1207,1321,Directed
1021,10,Directed
1436,366,Directed
1387,1294,Directed
1387,1596,Directed
919,725,Directed
848,578,Directed
801,10,Directed
1075,663,Directed
1075,177,Directed
1075,1423,Directed
1075,1470,Directed
1075,661,Directed
1075,1535,Directed
1470,1551,Directed
19,91,Directed
19,53,Directed
19,63,Directed
1008,151,Directed
1008,10,Directed
387,10,Directed
387,368,Directed
387,699,Directed
387,394,Directed
387,1029,Directed
387,958,Directed
503,337,Directed
290,1726,Directed
290,1038,Directed
290,2176,Directed
290,1700,Directed
290,2174,Directed
290,2125,Directed
880,578,Directed
14,63,Directed
14,192,Directed
14,11,Directed
14,372,Directed
14,368,Directed
893,1015,Directed
893,10,Directed
117,11,Directed
117,1164,Directed
117,866,Directed
117,786,Directed
117,669,Directed
117,900,Directed
117,988,Directed
117,1107,Directed
117,1112,Directed
117,1116,Directed
117,874,Directed
117,651,Directed
117,997,Directed
117,764,Directed
117,755,Directed
117,869,Directed
117,1117,Directed
117,1063,Directed
117,1049,Directed
117,1056,Directed
117,1045,Directed
117,1066,Directed
117,917,Directed
117,993,Directed
117,1033,Directed
117,878,Directed
117,897,Directed
117,1005,Directed
117,902,Directed
117,1002,Directed
1015,10,Directed
1063,39,Directed
1049,39,Directed
1056,39,Directed
1045,39,Directed
1033,39,Directed
1066,39,Directed
917,11,Directed
917,39,Directed
1252,1344,Directed
1392,1252,Directed
916,11,Directed
916,40,Directed
1419,573,Directed
1096,2,Directed
783,454,Directed
542,480,Directed
542,674,Directed
546,542,Directed
546,664,Directed
655,491,Directed
655,783,Directed
1017,1939,Directed
397,298,Directed
397,339,Directed
397,502,Directed
397,197,Directed
416,588,Directed
416,574,Directed
416,155,Directed
416,249,Directed
385,227,Directed
3,124,Directed
3,227,Directed
3,211,Directed
3,1085,Directed
3,163,Directed
3,300,Directed
3,1532,Directed
3,2056,Directed
3,2032,Directed
3,2010,Directed
242,27,Directed
242,13,Directed
1266,2148,Directed
1266,1087,Directed
1266,1833,Directed
1266,506,Directed
410,10,Directed
410,368,Directed
410,405,Directed
410,429,Directed
410,469,Directed
1183,16,Directed
1183,1017,Directed
1183,511,Directed
1183,230,Directed
1183,442,Directed
541,463,Directed
541,383,Directed
541,375,Directed
1664,442,Directed
1123,10,Directed
214,2119,Directed
214,260,Directed
5,211,Directed
5,325,Directed
5,2068,Directed
5,106,Directed
5,108,Directed
1091,43,Directed
1358,10,Directed
1358,1123,Directed
1593,644,Directed
1593,27,Directed
1261,1278,Directed
969,1091,Directed
969,1586,Directed
37,55,Directed
37,2030,Directed
37,72,Directed
1302,10,Directed
1302,593,Directed
724,2023,Directed
555,1227,Directed
523,554,Directed
523,29,Directed
523,43,Directed
1381,54,Directed
1381,1957,Directed
1381,606,Directed
947,139,Directed
947,30,Directed
30,33,Directed
30,555,Directed
30,136,Directed
30,139,Directed
30,75,Directed
977,228,Directed
977,481,Directed
883,529,Directed
883,806,Directed
74,391,Directed
74,314,Directed
74,375,Directed
603,1359,Directed
603,566,Directed
603,139,Directed
603,947,Directed
603,304,Directed
707,509,Directed
707,229,Directed
707,945,Directed
449,35,Directed
449,174,Directed
828,20,Directed
828,71,Directed
1316,1368,Directed
1316,794,Directed
155,443,Directed
43,2000,Directed
968,1126,Directed
968,1711,Directed
968,1637,Directed
28,10,Directed
28,68,Directed
28,554,Directed
28,215,Directed
28,523,Directed
483,522,Directed
400,695,Directed
945,229,Directed
1544,1258,Directed
1035,155,Directed
1035,299,Directed
1088,1817,Directed
45,26,Directed
45,32,Directed
45,342,Directed
45,296,Directed
45,92,Directed
45,236,Directed
45,67,Directed
45,102,Directed
45,77,Directed
45,293,Directed
302,2078,Directed
207,75,Directed
67,26,Directed
67,32,Directed
67,54,Directed
67,282,Directed
67,92,Directed
67,244,Directed
579,2074,Directed
579,2151,Directed
579,172,Directed
815,935,Directed
417,105,Directed
417,26,Directed
417,439,Directed
417,279,Directed
