package,in_degree,out_degree,betweenness,is_topN,dependents_count,downloads,rank
@csstools/postcss-ic-unit,1,3,0.000000,False,699839,21046430,0
@csstools/postcss-initial,1,0,0.000000,False,0,6692634,0
@csstools/postcss-is-pseudo-class,1,2,0.000000,False,721082,21128961,0
@csstools/postcss-light-dark-function,1,4,0.000000,False,0,6315774,0
@csstools/postcss-logical-float-and-clear,1,0,0.000000,False,3114,7615481,0
@csstools/postcss-logical-overflow,1,0,0.000000,False,447,6093193,0
@csstools/postcss-logical-overscroll-behavior,1,0,0.000000,False,447,6793281,0
@csstools/postcss-logical-resize,1,1,0.000000,False,3114,7957914,0
@csstools/postcss-logical-viewport-units,1,2,0.000000,False,3114,7554781,0
@csstools/postcss-media-minmax,1,4,0.000000,False,2349,7784922,0
@csstools/postcss-media-queries-aspect-ratio-number-values,1,3,0.000000,False,3114,7465592,0
@csstools/postcss-nested-calc,1,2,0.000000,False,343233,19057058,0
@csstools/postcss-normalize-display-values,1,1,0.000000,False,721140,19939437,0
@csstools/postcss-oklab-function,1,5,0.000000,False,699848,19859656,0
@csstools/postcss-progressive-custom-properties,17,1,0.000000,False,740849,21140774,0
@csstools/postcss-random-function,1,3,0.000000,False,0,4069521,0
@csstools/postcss-relative-color-syntax,1,5,0.000000,False,1957,8231921,0
@csstools/postcss-scope-pseudo-class,1,1,0.000000,False,3114,7511850,0
@csstools/postcss-sign-functions,1,3,0.000000,False,0,4246494,0
@csstools/postcss-stepped-value-functions,1,3,0.000000,False,582897,20416152,0
@csstools/postcss-text-decoration-shorthand,1,2,0.000000,False,343233,19393135,0
@csstools/postcss-trigonometric-functions,1,3,0.000000,False,519524,19137802,0
@csstools/postcss-unset-value,1,0,0.000000,False,582896,20407293,0
@csstools/selector-resolve-nested,1,0,0.000000,False,0,9207562,0
@csstools/selector-specificity,4,0,0.000000,False,603452,43204746,0
@csstools/utilities,23,0,0.000000,False,0,7704010,0
@eslint-community/eslint-utils,2,1,0.000000,False,902580,229056958,0
@eslint-community/regexpp,2,0,0.000000,False,491487,212260944,0
@eslint/config-array,1,3,0.000000,False,0,102983436,0
@eslint/config-helpers,1,1,0.000000,False,0,96994890,0
@eslint/core,3,1,0.000000,False,0,141279397,0
@eslint/eslintrc,1,9,0.000000,True,1908494,252437763,1328
@eslint/js,1,0,0.000000,False,906483,246114685,0
@eslint/object-schema,1,0,0.000000,False,0,104739683,0
@eslint/plugin-kit,1,2,0.000000,False,0,126150835,0
@file-type/xml,1,2,0.000000,False,0,139979,0
@hapi/address,1,1,0.000000,True,1718656,12219870,1542
@hapi/bourne,0,0,0.000000,True,1536616,18176880,1775
@hapi/formula,1,0,0.000000,False,53534,6562399,0
@hapi/hoek,3,0,0.000000,True,2019365,84428482,1184
@hapi/joi,0,5,0.000000,True,1716809,9084581,1544
@hapi/pinpoint,1,0,0.000000,False,53529,6532466,0
@hapi/topo,1,1,0.000000,True,1934516,65800106,1316
@humanfs/core,1,0,0.000000,False,0,102444281,0
@humanfs/node,1,2,0.000000,False,0,100171647,0
@humanwhocodes/config-array,0,3,0.000000,True,1468908,129224161,1912
@humanwhocodes/module-importer,1,0,0.000000,False,1124195,196081680,0
@humanwhocodes/object-schema,1,0,0.000000,True,1469092,128133986,1911
@humanwhocodes/retry,2,0,0.000000,False,0,168415967,0
@isaacs/balanced-match,1,0,0.000000,False,0,53140268,0
@isaacs/brace-expansion,1,1,0.000067,False,0,52482870,0
@isaacs/fs-minipass,1,1,0.000000,False,0,68470789,0
