Id,Label,package,in_degree,out_degree,betweenness,risk_score,is_topN,dependents_count,downloads,rank,is_seed
63,@aws-sdk/util-endpoints,@aws-sdk/util-endpoints,22,5,0.000000,0.091758,True,49322,154938017,1187,True
64,@aws-sdk/util-format-url,@aws-sdk/util-format-url,2,4,0.000000,0.016885,False,0,0,0,False
65,@aws-sdk/util-locate-window,@aws-sdk/util-locate-window,2,1,0.000000,0.009656,False,0,0,0,False
66,@aws-sdk/util-user-agent-browser,@aws-sdk/util-user-agent-browser,20,4,0.000000,0.082102,True,71285,167514814,1118,True
67,@aws-sdk/util-user-agent-node,@aws-sdk/util-user-agent-node,20,5,0.000000,0.084512,True,71337,161567570,1149,True
68,@aws-sdk/xml-builder,@aws-sdk/xml-builder,1,3,0.000000,0.010852,False,0,0,0,False
69,@aws/lambda-invoke-store,@aws/lambda-invoke-store,1,0,0.000000,0.003623,False,0,0,0,False
70,@azure/abort-controller,@azure/abort-controller,8,1,0.000000,0.031395,False,0,0,0,False
71,@azure/core-auth,@azure/core-auth,4,3,0.000000,0.021722,False,0,0,0,False
72,@azure/core-client,@azure/core-client,2,7,0.000000,0.024114,False,0,0,0,False
73,@azure/core-http-compat,@azure/core-http-compat,2,3,0.000000,0.014475,False,0,0,0,False
74,@azure/core-lro,@azure/core-lro,1,4,0.000000,0.013262,False,0,0,0,False
75,@azure/core-paging,@azure/core-paging,1,1,0.000000,0.006033,False,0,0,0,False
76,@azure/core-rest-pipeline,@azure/core-rest-pipeline,4,7,0.000000,0.031360,False,0,0,0,False
77,@azure/core-tracing,@azure/core-tracing,4,1,0.000000,0.016902,False,0,0,0,False
78,@azure/core-util,@azure/core-util,6,3,0.000000,0.028968,False,0,0,0,False
79,@azure/core-xml,@azure/core-xml,1,2,0.000000,0.008442,False,0,0,0,False
80,@azure/logger,@azure/logger,5,2,0.000000,0.022935,False,0,0,0,False
81,@azure/storage-blob,@azure/storage-blob,1,14,0.000000,0.037358,False,0,0,0,False
82,@azure/storage-common,@azure/storage-common,1,9,0.000000,0.025310,False,0,0,0,False
83,@babel/code-frame,@babel/code-frame,6,3,0.000000,0.028968,True,943567,305453121,383,True
84,@babel/compat-data,@babel/compat-data,3,0,0.000000,0.010870,True,2427088,278139086,536,True
85,@babel/core,@babel/core,4,15,0.000000,0.050637,True,3617515,314302543,365,True
86,@babel/generator,@babel/generator,3,5,0.000000,0.022918,True,3757856,350965495,332,True
87,@babel/helper-annotate-as-pure,@babel/helper-annotate-as-pure,6,1,0.000000,0.024149,True,3198809,194890549,923,True
88,@babel/helper-compilation-targets,@babel/helper-compilation-targets,6,5,0.000000,0.033787,True,2425898,261026941,565,True
89,@babel/helper-create-class-features-plugin,@babel/helper-create-class-features-plugin,5,7,0.000000,0.034983,True,2629302,161790550,1148,True
90,@babel/helper-create-regexp-features-plugin,@babel/helper-create-regexp-features-plugin,9,3,0.000000,0.039838,True,2469860,131164258,1558,True
91,@babel/helper-define-polyfill-provider,@babel/helper-define-polyfill-provider,3,5,0.000000,0.022918,True,1820602,130978842,1559,True
92,@babel/helper-globals,@babel/helper-globals,2,0,0.000000,0.007246,True,0,124467194,1720,True
93,@babel/helper-member-expression-to-functions,@babel/helper-member-expression-to-functions,2,2,0.000000,0.012066,True,3285157,165881219,1132,True
94,@babel/helper-module-imports,@babel/helper-module-imports,2,2,0.000000,0.012066,True,3498086,289434959,513,True
95,@babel/helper-module-transforms,@babel/helper-module-transforms,5,3,0.000000,0.025345,True,3453731,289897185,511,True
96,@babel/helper-optimise-call-expression,@babel/helper-optimise-call-expression,2,1,0.000000,0.009656,True,3288913,156105507,1183,True
97,@babel/helper-plugin-utils,@babel/helper-plugin-utils,81,0,0.000000,0.293478,True,3527362,292505806,503,True
98,@babel/helper-remap-async-to-generator,@babel/helper-remap-async-to-generator,2,3,0.000000,0.014475,True,3141904,124449211,1721,True
99,@babel/helper-replace-supers,@babel/helper-replace-supers,3,3,0.000000,0.018098,True,3331023,162831465,1145,True
100,@babel/helper-skip-transparent-expression-wrappers,@babel/helper-skip-transparent-expression-wrappers,5,2,0.000000,0.022935,True,2346435,144300697,1355,True
101,@babel/helper-string-parser,@babel/helper-string-parser,1,0,0.000000,0.003623,True,733858,283475594,521,True
102,@babel/helper-validator-identifier,@babel/helper-validator-identifier,5,0,0.000000,0.018116,True,579219,370941312,316,True
103,@babel/helper-validator-option,@babel/helper-validator-option,2,0,0.000000,0.007246,True,2596458,266074917,557,True
104,@babel/helper-wrap-function,@babel/helper-wrap-function,1,3,0.000000,0.010852,True,3138324,121996205,1741,True
105,@babel/helpers,@babel/helpers,1,2,0.000000,0.008442,True,3566270,288396299,515,True
106,@babel/highlight,@babel/highlight,0,4,0.000000,0.009639,True,640793,134488612,1532,True
107,@babel/parser,@babel/parser,7,1,0.000000,0.027772,True,3782849,393851512,303,True
108,@babel/plugin-bugfix-firefox-class-in-computed-class-key,@babel/plugin-bugfix-firefox-class-in-computed-class-key,1,2,0.000000,0.008442,False,0,0,0,False
109,@babel/plugin-bugfix-safari-class-field-initializer-scope,@babel/plugin-bugfix-safari-class-field-initializer-scope,1,1,0.000000,0.006033,False,0,0,0,False
110,@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression,@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression,1,1,0.000000,0.006033,False,0,0,0,False
111,@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining,@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining,1,3,0.000000,0.010852,True,1724972,105414837,1998,True
112,@babel/plugin-bugfix-v8-static-class-fields-redefine-readonly,@babel/plugin-bugfix-v8-static-class-fields-redefine-readonly,1,2,0.000000,0.008442,False,0,0,0,False
113,@babel/plugin-proposal-private-property-in-object,@babel/plugin-proposal-private-property-in-object,1,4,0.000000,0.013262,True,1660697,116896785,1794,True
