package,risk_score
strip-ansi,0.2711961034211612
svgo,0.2701943385067596
@smithy/core,0.2699715680178738
axios,0.269970849485444
type-fest,0.2697688422043609
find-up,0.2691963514198497
which-boxed-primitive,0.2690224282600946
readable-stream,0.2684911811210682
jest-circus,0.2684827239420002
which-typed-array,0.2677053039126312
braces,0.2675795920633079
yargs,0.2675795803570546
ajv,0.267176865142611
jest-runner,0.2665190940008959
@babel/helper-annotate-as-pure,0.2664052632975189
parse-json,0.2654001510309508
cross-spawn,0.2652747692850461
@smithy/url-parser,0.2651997439643713
@puppeteer/browsers,0.2649818751383533
lodash,0.2649495779801665
fill-range,0.26428286167653
update-browserslist-db,0.2642120093430992
graceful-fs,0.2642093300176558
terser,0.2641575205305442
mime-types,0.2641195358528656
gopd,0.263887813705249
util,0.2638091292910436
@jest/reporters,0.2636548592540348
jsonwebtoken,0.2627624943004165
@smithy/fetch-http-handler,0.2621188515936943
@babel/helper-define-polyfill-provider,0.2620669380533958
postcss,0.2620571389607061
@aws-sdk/util-user-agent-browser,0.2620569128854698
@aws-sdk/client-sso,0.261748034131578
iconv-lite,0.2615993786411202
has-tostringtag,0.2614407118157194
gaxios,0.2610637423186844
react-dev-utils,0.2609558110624789
rimraf,0.2609129909560271
eslint-plugin-react,0.2608337421077991
@smithy/util-base64,0.2608148717602634
string-width,0.2605048357055408
got,0.2604144513212202
lru-cache,0.2602872880680175
which-collection,0.2599369030319962
eslint-plugin-import,0.2599176410648067
@jest/test-result,0.2596562624660199
source-map,0.2594796523745801
@smithy/util-stream,0.2591454110813029
minipass,0.258624665254539
@aws-sdk/middleware-recursion-detection,0.2581389156613438
@typescript-eslint/utils,0.2577892260598151
safe-buffer,0.2576724608806474
import-fresh,0.2576528309170413
@csstools/postcss-progressive-custom-properties,0.2575831871451673
p-limit,0.2573913485782513
picocolors,0.2571678368783438
@aws-crypto/sha256-js,0.2569341778951168
escodegen,0.2566860721334487
@aws-sdk/client-lambda,0.2566761336386514
deep-equal,0.2564634139978262
https-proxy-agent,0.2564452171142481
@aws-sdk/middleware-user-agent,0.2563885836407196
to-regex-range,0.2563478065555792
babel-jest,0.2562909219854485
@svgr/babel-preset,0.2562326949622982
inherits,0.2559047264133973
wrap-ansi,0.2558915355821004
eslint-plugin-jsx-a11y,0.2558646286222449
locate-path,0.2552712098644543
terser-webpack-plugin,0.2551184566315881
@babel/helper-skip-transparent-expression-wrappers,0.2549780765892312
@aws-sdk/client-dynamodb,0.2548787913609349
camelcase,0.254772000761356
fs-extra,0.254743696480104
supports-color,0.2546856495953452
@smithy/util-body-length-node,0.2546354485398587
js-yaml,0.2544903890054927
@types/yargs,0.2542942281389447
pac-resolver,0.2542811409273347
signal-exit,0.2542135030869243
@jest/schemas,0.2540571531555238
unicode-match-property-ecmascript,0.2539533341170638
http-errors,0.2539172935125194
tough-cookie,0.2538927017290585
compression,0.2537968821066699
@babel/helper-remap-async-to-generator,0.2537700846402908
send,0.253699807578211
@smithy/util-middleware,0.2535663767545238
entities,0.2531430199994765
source-map-support,0.2531205180424057
@babel/runtime,0.2530614811247558
cssstyle,0.2530149895773503
slash,0.2529220421042313
@smithy/util-retry,0.2528956039558906
babel-preset-react-app,0.2528874948761779
tar-fs,0.2528066595541642
write-file-atomic,0.252732097359189
css-tree,0.2524762734672028
@types/istanbul-reports,0.2524394187132174
kind-of,0.252351648517684
uuid,0.2521907527130867
typed-array-length,0.2521732283074717
ms,0.2521418248078387
eslint-visitor-keys,0.251810420280759
p-locate,0.2517640528699114
@aws-sdk/middleware-logger,0.2516172021951069
@smithy/hash-node,0.2515423492253115
firebase-admin,0.2514846935239232
escape-string-regexp,0.2514354297064824
snapdragon,0.2514334687915334
is-wsl,0.251196553242163
minimist,0.2511135855062552
winston,0.2508542912935663
acorn,0.2508270473788694
css-select,0.2507514689355447
ts-node,0.2506841976151816
fast-deep-equal,0.250666918813012
fast-glob,0.2506584353261755
ansi-styles,0.2505715088762112
@smithy/util-body-length-browser,0.2505598272133849
@smithy/middleware-retry,0.2505557424860183
unbox-primitive,0.2502119340981467
@smithy/util-defaults-mode-node,0.250148770878508
aws-sdk,0.2500591900294058
for-each,0.2500488459104981
fork-ts-checker-webpack-plugin,0.2499885127102766
picomatch,0.2498685623899599
url-parse,0.2498611606215802
punycode,0.2497926891844688
esutils,0.2497566605887615
isarray,0.2497557950482787
@smithy/config-resolver,0.2497156539926007
@smithy/invalid-dependency,0.2496827540664888
@types/estree,0.2496786824776765
ws,0.2495523827356602
fb-watchman,0.2495025872342199
@smithy/util-defaults-mode-browser,0.2493737482581878
color,0.2493501994354119
walker,0.2493207686033421
es-errors,0.2493158857707696
mongodb,0.2492908936962685
open,0.2492654980562474
base64-js,0.2491020234009265
postcss-svgo,0.2490550510711904
is-stream,0.2489925416562448
@inquirer/core,0.2489736431802862
@aws-sdk/util-endpoints,0.2489450906864793
node-fetch,0.2489039708560586
typed-array-byte-offset,0.2488506635418089
